departure_date,order number
2020-01-12,30
2020-01-19,27
2020-01-26,38
2020-02-02,15
2020-02-09,1
2020-02-16,2
2020-02-23,8
2020-03-01,14
2020-03-08,24
2020-03-15,18
2020-03-22,23
2020-03-29,22
2020-04-05,14
2020-04-12,15
2020-04-19,18
2020-04-26,20
2020-05-03,31
2020-05-10,29
2020-05-17,28
2020-05-24,43
2020-05-31,39
2020-06-07,52
2020-06-14,50
2020-06-21,46
2020-06-28,45
2020-07-05,39
2020-07-12,54
2020-07-19,54
2020-07-26,48
2020-08-02,56
2020-08-09,49
2020-08-16,41
2020-08-23,43
2020-08-30,76
2020-09-06,48
2020-09-13,54
2020-09-20,65
2020-09-27,52
2020-10-04,71
2020-10-11,61
2020-10-18,23
2020-10-25,56
2020-11-01,63
2020-11-08,57
2020-11-15,53
2020-11-22,55
2020-11-29,37
2020-12-06,64
2020-12-13,43
2020-12-20,53
2020-12-27,58
2021-01-03,43
2021-01-10,37
2021-01-17,50
2021-01-24,46
2021-01-31,70
2021-02-07,61
2021-02-14,51
2021-02-21,57
2021-02-28,21
2021-03-07,54
2021-03-14,42
2021-03-21,62
2021-03-28,79
2021-04-04,59
2021-04-11,67
2021-04-18,72
2021-04-25,48
2021-05-02,76
2021-05-09,83
2021-05-16,61
2021-05-23,48
2021-05-30,43
2021-06-06,38
2021-06-13,34
2021-06-20,44
2021-06-27,69
2021-07-04,43
2021-07-11,68
2021-07-18,42
2021-07-25,48
2021-08-01,50
2021-08-08,56
2021-08-15,57
2021-08-22,77
2021-08-29,62
2021-09-05,63
2021-09-12,69
2021-09-19,75
2021-09-26,107
2021-10-03,74
2021-10-10,52
2021-10-17,58
2021-10-24,54
2021-10-31,63
2021-11-07,64
2021-11-14,51
2021-11-21,42
2021-11-28,28
2021-12-05,20
2021-12-12,9
2021-12-19,8
