departure_date,order number
2020-01-05,25
2020-01-12,43
2020-01-19,54
2020-01-26,65
2020-02-02,24
2020-02-09,3
2020-02-16,3
2020-02-23,10
2020-03-01,21
2020-03-08,37
2020-03-15,31
2020-03-22,41
2020-03-29,43
2020-04-05,27
2020-04-12,21
2020-04-19,31
2020-04-26,46
2020-05-03,56
2020-05-10,53
2020-05-17,57
2020-05-24,80
2020-05-31,75
2020-06-07,90
2020-06-14,91
2020-06-21,86
2020-06-28,96
2020-07-05,77
2020-07-12,90
2020-07-19,107
2020-07-26,94
2020-08-02,105
2020-08-09,104
2020-08-16,97
2020-08-23,98
2020-08-30,130
2020-09-06,98
2020-09-13,113
2020-09-20,118
2020-09-27,113
2020-10-04,135
2020-10-11,109
2020-10-18,50
2020-10-25,107
2020-11-01,119
2020-11-08,107
2020-11-15,115
2020-11-22,106
2020-11-29,85
2020-12-06,102
2020-12-13,74
2020-12-20,108
2020-12-27,96
2021-01-03,71
2021-01-10,81
2021-01-17,96
2021-01-24,90
2021-01-31,124
2021-02-07,116
2021-02-14,107
2021-02-21,106
2021-02-28,47
2021-03-07,86
2021-03-14,103
2021-03-21,106
2021-03-28,143
2021-04-04,110
2021-04-11,130
2021-04-18,133
2021-04-25,95
2021-05-02,150
2021-05-09,142
2021-05-16,109
2021-05-23,92
2021-05-30,105
2021-06-06,85
2021-06-13,75
2021-06-20,90
2021-06-27,139
2021-07-04,88
2021-07-11,124
2021-07-18,81
2021-07-25,81
2021-08-01,92
2021-08-08,97
2021-08-15,101
2021-08-22,132
2021-08-29,104
2021-09-05,128
2021-09-12,129
2021-09-19,167
2021-09-26,199
2021-10-03,139
2021-10-10,96
2021-10-17,120
2021-10-24,120
2021-10-31,123
2021-11-07,109
2021-11-14,99
2021-11-21,81
2021-11-28,51
2021-12-05,33
2021-12-12,10
2021-12-19,11
2021-12-26,16
2022-01-02,10
